Rank,Player,Goals
764.0,Eddie McGoldrick,8.0
764.0,Olof Mellberg,8.0
764.0,Clive Mendonca,8.0
764.0,Joe-Max Moore,8.0
764.0,Wes Morgan,8.0
764.0,Fernando Morientes,8.0
764.0,Jon Newsome,8.0
764.0,Andy O'Brien,8.0
764.0,Jonas Olsson,8.0
764.0,Darren Peacock,8.0
764.0,Chris Perry,8.0
764.0,Steven Reid,8.0
764.0,Micah Richards,8.0
764.0,Chris Riggott,8.0
764.0,Cedric Roussel,8.0
764.0,Bryan Ruiz,8.0
764.0,John Salako,8.0
764.0,Georgios Samaras,8.0
764.0,Jeffrey Schlupp,8.0
764.0,Frank Sinclair,8.0
764.0,Islam Slimani,8.0
764.0,Alan Smith,8.0
